IN2258,Middleware und verteilte Systeme ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",14.04.2023,11:30  ,12:45
IN2258,Middleware und verteilte Systeme ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",14.04.2023,12:45  ,13:15
IN1503,Advanced Programming ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 2050, Zeichen-/Hörsaal (5510.02.050) ",04.04.2023,13:30  ,14:15
IN1503,Advanced Programming ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"MW 2050, Zeichen-/Hörsaal (5510.02.050) ",04.04.2023,14:15  ,15:30
IN1503,Advanced Programming ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"MW 2050, Zeichen-/Hörsaal (5510.02.050) ",04.04.2023,15:30  ,16:00
IN2067,Robotik ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,13.04.2023,07:15  ,08:00
IN2067,Robotik ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,13.04.2023,08:00  ,09:30
IN2067,Robotik ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,13.04.2023,09:30  ,10:00
IN2339,Data Analysis and Visualization in R ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,11.04.2023,10:45  ,11:30
IN2339,Data Analysis and Visualization in R ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,11.04.2023,11:30  ,13:00
IN2339,Data Analysis and Visualization in R ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,11.04.2023,13:00  ,13:30
IN2339,Data Analysis and Visualization in R ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"1450, Willy-Messerschmitt-Zeichensaal (5504.01.450) ",11.04.2023,10:45  ,11:30
IN2339,Data Analysis and Visualization in R ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,geplant,"1450, Willy-Messerschmitt-Zeichensaal (5504.01.450) ",11.04.2023,11:30  ,13:00
IN2339,Data Analysis and Visualization in R ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,geplant,"1450, Willy-Messerschmitt-Zeichensaal (5504.01.450) ",11.04.2023,13:00  ,13:30
IN2339,Data Analysis and Visualization in R ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,11.04.2023,10:45  ,11:30
IN2339,Data Analysis and Visualization in R ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,11.04.2023,11:30  ,13:00
IN2339,Data Analysis and Visualization in R ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,11.04.2023,13:00  ,13:30
IN2157,Grundlegende Algorithmen (CSE),Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"1350, Ludwig-Burmester-Zeichensaal (5503.01.350) ",14.04.2023,10:45  ,11:30
