MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",14.02.2023,15:45  ,16:15
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",14.02.2023,13:30  ,14:15
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",14.02.2023,14:15  ,15:45
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",14.02.2023,15:45  ,16:15
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,14.02.2023,13:30  ,14:15
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,14.02.2023,14:15  ,15:45
MA9711M,Mathematische Behandlung der Natur- und Wirtschaftswissenschaften 1 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,14.02.2023,15:45  ,16:15
MA9614,Statistik ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"129, Speisesaal 3 (Mensa 3, Seminarraum) (4216.01.129) ",17.02.2023,16:15  ,17:00
MA9614,Statistik ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,geplant,"129, Speisesaal 3 (Mensa 3, Seminarraum) (4216.01.129) ",17.02.2023,17:00  ,19:00
MA9614,Statistik ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,geplant,"129, Speisesaal 3 (Mensa 3, Seminarraum) (4216.01.129) ",17.02.2023,19:00  ,19:30
MA9204,Prüfung zu Mathematik für Physiker 4 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",16.02.2023,10:45  ,11:30
MA9204,Prüfung zu Mathematik für Physiker 4 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",16.02.2023,11:30  ,13:00
MA9204,Prüfung zu Mathematik für Physiker 4 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",16.02.2023,13:00  ,13:30
MA9204,Prüfung zu Mathematik für Physiker 4 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"102, Hörsaal 2, ""Interims I"" (5620.01.102) ",16.02.2023,10:45  ,11:30
MA9204,Prüfung zu Mathematik für Physiker 4 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"102, Hörsaal 2, ""Interims I"" (5620.01.102) ",16.02.2023,11:30  ,13:00
MA9204,Prüfung zu Mathematik für Physiker 4 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"102, Hörsaal 2, ""Interims I"" (5620.01.102) ",16.02.2023,13:00  ,13:30
MA9411,Analysis 1 (EI),Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",20.02.2023,10:45  ,11:30
MA9411,Analysis 1 (EI),Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",20.02.2023,11:30  ,13:00
MA9411,Analysis 1 (EI),Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",20.02.2023,13:00  ,13:30
MA9411,Analysis 1 (EI),Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",20.02.2023,10:45  ,11:30
MA9411,Analysis 1 (EI),Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",20.02.2023,11:30  ,13:00
MA9411,Analysis 1 (EI),Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",20.02.2023,13:00  ,13:30
MA9411,Analysis 1 (EI),Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",20.02.2023,10:45  ,11:30
MA9411,Analysis 1 (EI),Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",20.02.2023,11:30  ,13:00
MA9411,Analysis 1 (EI),Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",20.02.2023,13:00  ,13:30
MA9411,Analysis 1 (EI),Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,20.02.2023,10:45  ,11:30
MA9411,Analysis 1 (EI),Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,20.02.2023,11:30  ,13:00
MA9411,Analysis 1 (EI),Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,20.02.2023,13:00  ,13:30
