IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",01.08.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",01.08.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",01.08.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"1550, Georg-Kühne-Zeichensaal (5505.01.550) ",01.08.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"1550, Georg-Kühne-Zeichensaal (5505.01.550) ",01.08.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"1550, Georg-Kühne-Zeichensaal (5505.01.550) ",01.08.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",01.08.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",01.08.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",01.08.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 2050, Zeichen-/Hörsaal (5510.02.050) ",01.08.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"MW 2050, Zeichen-/Hörsaal (5510.02.050) ",01.08.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"MW 2050, Zeichen-/Hörsaal (5510.02.050) ",01.08.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"003, Hörsaal 2, ""Interims II"" (5416.01.003) ",01.08.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"003, Hörsaal 2, ""Interims II"" (5416.01.003) ",01.08.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"003, Hörsaal 2, ""Interims II"" (5416.01.003) ",01.08.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"102, Hörsaal 2, ""Interims I"" (5620.01.102) ",01.08.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"102, Hörsaal 2, ""Interims I"" (5620.01.102) ",01.08.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"102, Hörsaal 2, ""Interims I"" (5620.01.102) ",01.08.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",09.10.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",09.10.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",09.10.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"1350, Ludwig-Burmester-Zeichensaal (5503.01.350) ",09.10.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"1350, Ludwig-Burmester-Zeichensaal (5503.01.350) ",09.10.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"1350, Ludwig-Burmester-Zeichensaal (5503.01.350) ",09.10.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"1550, Georg-Kühne-Zeichensaal (5505.01.550) ",09.10.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"1550, Georg-Kühne-Zeichensaal (5505.01.550) ",09.10.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"1550, Georg-Kühne-Zeichensaal (5505.01.550) ",09.10.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",09.10.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",09.10.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",09.10.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",09.10.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",09.10.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",09.10.2023,12:30  ,13:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,09.10.2023,10:30  ,11:00
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,09.10.2023,11:00  ,12:30
IN0006,Einführung in die Softwaretechnik ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,Audimax im Galileo nur Mo-Di 7-19 Uhr (8120.01.101) ,09.10.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,09.08.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,09.08.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,09.08.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",09.08.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",09.08.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",09.08.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",09.08.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",09.08.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"1200, Carl-von-Linde-Hörsaal (0502.01.200) ",09.08.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",09.08.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",09.08.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",09.08.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"1450, Willy-Messerschmitt-Zeichensaal (5504.01.450) ",09.08.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,geplant,"1450, Willy-Messerschmitt-Zeichensaal (5504.01.450) ",09.08.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,geplant,"1450, Willy-Messerschmitt-Zeichensaal (5504.01.450) ",09.08.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",09.08.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",09.08.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",09.08.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",09.08.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",09.08.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",09.08.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"2502, Physik Hörsaal 2 (5101.EG.502) ",09.08.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"2502, Physik Hörsaal 2 (5101.EG.502) ",09.08.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"2502, Physik Hörsaal 2 (5101.EG.502) ",09.08.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"0980, Audimax (0509.EG.980) ",09.08.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"0980, Audimax (0509.EG.980) ",09.08.2023,11:00  ,12:30
