MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Prüfungstermin,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",04.08.2023,13:30  ,15:00
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Nachbereitung,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",04.08.2023,15:00  ,15:30
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Aufbau u. Vorbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",04.08.2023,13:00  ,13:30
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Prüfungstermin,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",04.08.2023,13:30  ,15:00
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Nachbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",04.08.2023,15:00  ,15:30
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",04.08.2023,13:00  ,13:30
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Prüfungstermin,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",04.08.2023,13:30  ,15:00
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Nachbereitung,Modulprüfung,fix,"MW 1801, Ernst-Schmidt-Hörsaal (5508.02.801) ",04.08.2023,15:00  ,15:30
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Aufbau u. Vorbereitung,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",04.08.2023,13:00  ,13:30
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Prüfungstermin,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",04.08.2023,13:30  ,15:00
MA0901,Lineare Algebra für Informatik ,Department of Mathematics ,Nachbereitung,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",04.08.2023,15:00  ,15:30
